Type,year,Overall_ACC,Precisioin_built,Precisioin_non_built,Recall_built,Recall_non_built
My,1990_1992,93.99,100.0,89.25,88.0,100.0
GAIA,1990_1992,76.82,97.34,68.67,55.24,98.48
My,1993_1995,94.39,100.0,89.9,88.81,100.0
GAIA,1993_1995,78.13,97.29,69.98,57.96,98.38
My,1996_1998,94.39,100.0,89.9,88.81,100.0
GAIA,1996_1998,79.65,97.27,71.55,61.09,98.28
My,1999_2001,94.55,99.89,90.22,89.21,99.9
GAIA,1999_2001,81.16,97.25,73.21,64.21,98.18
My,2002_2004,94.55,99.77,90.29,89.31,99.8
GAIA,2002_2004,82.17,96.92,74.44,66.53,97.87
My,2005_2007,94.49,99.55,90.36,89.42,99.6
GAIA,2005_2007,82.68,96.69,75.1,67.74,97.67
My,2008_2010,94.44,99.33,90.42,89.52,99.39
GAIA,2008_2010,83.18,96.08,75.89,69.25,97.17
My,2011_2013,94.49,99.22,90.58,89.72,99.29
GAIA,2011_2013,84.14,95.2,77.4,71.98,96.36
My,2014_2016,97.03,97.35,96.71,96.57,97.47
GAIA,2014_2016,85.87,92.73,81.12,77.27,94.16
My,2017_2019,96.58,96.19,96.96,96.87,96.3
GAIA,2017_2019,85.92,92.53,81.3,77.58,93.96
